latitude,longitude
809,610
739,460
818,53
664,63
320,339
512,47
280,297
490,970
240,436
943,528
929,400
821,162
239,820
199,175
704,417
633,359
2,264
258,923
139,215
981,712
781,205
613,879
998,554
698,314
441,715
525,881
662,326
671,828
859,418
462,839
176,766
824,787
421,269
96,935
37,710
839,253
779,659
164,395
244,33
730,860
52,507
193,661
562,535
370,926
533,133
660,991
508,897
677,193
61,773
911,586
70,329
450,505
392,882
105,413
869,817
253,451
900,156
261,423
993,872
874,29
141,459
323,407
495,592
899,49
128,476
941,233
575,241
146,116
20,238
110,472
8,693
992,275
994,252
614,687
195,662
298,880
46,802
408,558
529,886
142,161
829,357
541,910
34,66
178,799
312,917
54,50
626,823
48,424
285,646
715,994
513,771
749,593
913,94
412,969
311,313
766,67
247,721
701,69
480,863
590,93
877,244
803,623
196,919
78,686
832,321
984,153
373,23
592,457
181,634
29,739
290,690
375,311
850,636
561,84
606,509
45,831
567,604
693,706
136,843
69,30
759,207
91,489
724,737
546,789
865,607
411,545
445,631
896,176
643,123
225,71
669,148
558,561
292,498
887,701
547,217
912,782
328,794
897,112
840,819
979,312
846,638
255,985
537,469
217,345
427,216
585,38
339,875
245,3
499,580
675,414
732,185
658,109
955,389
267,564
354,956
482,86
778,730
122,543
262,960
890,677
270,790
352,401
374,221
230,609
104,25
768,124
574,894
212,89
784,673
756,717
642,154
30,250
109,871
910,788
530,594
683,536
520,741
841,159
668,665
160,742
545,763
144,210
969,398
478,143
982,649
989,82
754,188
200,640
516,707
922,713
494,769
666,822
599,186
68,149
233,485
630,55
721,40
303,279
250,939
92,716
26,354
395,757
580,540
135,750
307,751
837,654
876,833
648,8
211,786
945,170
0,26
783,427
509,495
309,644
336,475
219,781
27,258
727,888
83,431
396,135
296,194
448,855
717,864
745,689
741,615
532,139
746,113
201,231
425,41
289,28
553,13
601,567
793,971
338,298
484,497
881,479
542,165
183,976
886,138
878,588
963,446
358,267
251,625
863,304
861,237
974,809
165,271
753,323
80,187
888,310
973,487
35,641
772,350
431,836
738,416
817,874
99,108
124,236
440,491
947,666
308,584
678,684
6,5
931,672
263,447
915,846
359,682
902,243
149,184
100,868
330,234
220,853
112,856
409,530
271,678
384,735
645,51
996,163
367,736
90,31
44,703
322,565
667,126
650,110
471,759
733,825
948,245
997,415
975,266
991,11
457,502
563,698
556,574
729,439
103,811
305,907
916,380
871,225
853,488
73,85
434,482
571,335
938,344
391,745
787,369
167,627
12,552
473,301
548,220
485,529
474,206
28,353
625,681
189,374
469,608
519,941
682,719
390,317
786,948
456,9
882,591
341,501
972,898
795,473
917,461
4,650
952,657
319,392
162,268
828,46
689,106
518,166
987,208
589,909
939,680
463,248
843,801
154,169
321,821
451,486
686,683
132,443
597,925
867,962
636,965
940,937
131,977
603,293
776,77
125,101
486,440
510,642
623,724
15,137
544,924
423,987
687,422
573,36
870,355
335,247
380,951
785,332
954,368
438,768
98,777
310,43
907,174
720,508
81,606
53,696
956,583
864,835
985,455
174,549
401,718
646,541
229,695
670,421
18,288
424,506
705,972
38,386
22,902
901,16
194,341
788,613
928,577
891,850
833,97
572,425
611,996
923,59
723,73
172,228
387,448
794,385
241,435
957,18
707,920
579,478
455,930
665,292
206,171
634,546
325,21
94,704
946,975
798,700
248,911
465,740
361,104
177,922
264,223
647,643
814,140
444,818
641,901
343,585
988,582
208,303
237,550
555,816
175,122
416,511
32,365
649,282
816,576
155,645
980,467
115,142
566,54
848,999
924,605
504,338
496,652
446,612
429,274
249,632
291,544
221,151
748,222
918,929
101,351
780,733
278,515
192,967
702,658
883,330
868,980
476,190
252,510
889,978
293,732
854,105
986,331
76,527
443,307
983,797
113,755
856,663
188,481
366,65
498,921
39,75
106,141
737,551
282,854
855,945
728,705
576,504
224,408
129,617
789,152
586,118
157,277
930,562
936,235
107,966
925,278
202,998
628,270
363,943
605,571
612,954
205,575
127,890
624,19
158,463
77,621
967,318
823,471
226,752
227,711
951,103
826,603
607,390
95,744
596,52
186,224
862,824
