latitude,longitude
-326,-861
908,470
671,515
-123,390
131,690
592,927
115,586
-712,-877
217,572
478,349
524,498
-582,-592
-200,-188
102,307
819,660
-779,737
-69,962
-250,-813
760,674
-140,-781
-142,-302
700,726
206,-636
-921,-566
86,-909
762,897
-301,-706
-549,180
83,845
495,-836
705,863
751,-807
-107,250
156,-465
141,-812
-906,376
-371,485
84,275
-18,283
-175,63
405,7
-512,778
-551,-188
-802,-576
626,-13
-698,-185
519,582
-799,238
120,-231
84,-358
-889,692
344,886
-287,-807
-282,451
-395,84
671,484
546,-117
225,861
-600,497
543,-738
431,-62
-908,396
795,332
-379,878
252,174
45,-709
641,-168
-101,-374
843,-167
31,202
514,-417
163,-654
55,-512
-698,-310
927,-494
592,-126
70,-539
-746,484
168,238
519,53
-756,586
-229,-548
435,-611
489,532
-783,-574
-8,425
-717,-754
-785,-567
278,526
-265,-901
-708,755
214,599
-591,-752
235,-897
49,-734
275,783
-135,-818
928,254
713,-166
-363,918
-946,166
-264,-962
-939,655
-335,-71
244,-776
-226,342
969,-376
-450,-724
-753,906
971,-917
164,792
870,233
735,-608
-786,223
-795,-809
983,547
912,428
-949,-774
-110,355
-919,-104
443,673
-274,343
332,-342
-514,-91
746,137
-118,-442
-288,-426
668,-719
-249,-814
-281,745
400,-380
887,-33
-199,-929
295,706
933,-149
-90,339
-205,670
-956,-451
148,806
-374,-861
-892,4
462,59
-62,-763
810,896
264,-425
301,-591
319,94
-55,976
969,-375
68,-259
556,-810
371,-450
-100,-322
-709,589
-463,-218
-587,-711
-760,-28
-963,388
-697,7
742,-470
837,676
975,-196
-395,668
907,846
-244,91
712,836
106,-17
-413,643
-628,-793
863,147
-566,-146
419,611
155,917
-722,594
-889,948
-209,982
-26,-874
-582,433
681,281
-623,609
-252,134
-307,-938
-658,-14
-337,960
816,-521
-566,613
642,532
412,331
-242,-137
265,-726
-768,40
639,781
721,-115
-284,838
-147,784
-285,-345
285,-603
-14,239
-55,978
-255,26
-661,690
-763,-447
-522,304
887,517
-233,-676
235,-930
-587,793
250,402
-824,990
-586,-863
-678,-978
918,80
462,-129
125,-30
899,733
937,-279
289,-986
-420,670
-766,-485
-236,759
-199,854
-604,934
177,486
-591,-465
890,-687
-29,408
771,637
464,459
-5,-90
403,9
-294,722
760,689
-501,455
-362,-829
624,938
214,-189
77,316
55,-852
516,396
799,-807
620,593
-245,-560
573,-913
-819,-493
-883,100
-688,579
218,161
-764,-393
-450,-732
707,611
456,144
-897,806
475,976
289,281
657,-232
-903,-485
-950,43
-654,-542
603,-16
184,186
930,-350
646,189
947,319
651,-875
534,97
479,-136
-247,-126
-695,223
510,-219
351,-174
313,789
-566,-998
-492,856
-114,152
-216,277
-529,237
-715,-853
-814,-63
-737,-214
-110,350
-366,601
29,-750
-602,565
-166,-366
452,177
-489,782
702,-230
-943,321
-366,-579
66,847
