latitude,longitude
-419,502
-453,423
-649,-761
117,-552
84,679
483,586
-675,253
460,913
-173,956
450,-332
-474,-453
54,-749
518,476
985,285
620,222
2,890
-885,769
-283,712
-295,138
-800,-896
-955,-512
-6,661
157,344
967,-37
-597,-410
412,71
219,646
998,-682
-613,543
-559,-902
470,15
-951,689
641,-553
164,981
-203,833
141,479
-507,-475
-725,-576
636,32
-59,-739
568,-886
401,633
-77,-789
947,196
-722,949
-325,309
-258,-428
97,365
307,-871
-696,-228
352,727
903,955
135,596
257,-285
968,504
723,154
565,501
906,-633
910,-974
-289,361
299,-862
-232,-583
-86,-742
-416,487
-195,-525
-451,-930
-632,-432
474,671
519,317
-493,-779
110,-657
971,-798
-590,-903
-772,308
-654,-964
-106,-153
780,-810
71,-131
-756,-85
-239,-46
273,-705
521,706
-904,-967
-918,-66
-398,352
303,86
-501,984
-833,-305
806,307
-113,909
866,-277
-619,486
261,826
-668,-151
-814,160
-151,941
-986,-330
-934,-726
-222,-326
395,-483
652,972
-299,473
102,-558
260,923
-813,665
341,-211
-700,-140
-62,-224
716,483
668,548
-682,-230
-292,-471
749,526
-995,-577
791,698
419,134
761,-32
617,76
-650,612
-93,654
872,323
-834,-308
-766,186
688,600
35,790
27,613
235,533
919,-381
272,415
-460,162
-944,-652
-836,-122
391,-543
-796,-430
-517,896
457,-8
-938,113
-761,761
145,-602
613,-592
-326,278
-107,-434
18,145
940,-894
-332,-108
-744,-674
889,1
-527,-946
407,30
-624,-162
979,-110
489,-283
678,-725
-981,715
-426,274
-844,192
481,458
-278,47
978,-301
524,66
615,-226
-440,-690
-905,815
-265,867
289,580
-609,459
976,-813
-710,410
800,409
416,-812
-216,-311
-119,358
879,174
207,265
582,625
349,-467
381,-260
-26,-213
886,-123
-792,877
-40,250
-471,264
149,387
-957,312
-16,624
-253,854
851,-625
782,881
-636,279
-997,-521
144,484
386,-485
820,-655
-81,452
960,-545
-279,468
-811,574
874,331
-612,-523
-314,-503
921,-273
333,831
86,443
-402,595
38,795
106,156
-610,-801
-20,576
269,166
907,135
99,207
773,-498
163,422
-670,-128
378,563
-599,-391
336,-255
-890,-127
862,-968
266,319
-755,745
-177,688
-646,-899
121,-791
-492,729
-68,-897
786,220
-369,-638
788,103
-532,-382
684,171
-735,-299
-902,-805
-431,-965
-866,683
509,258
674,55
-137,966
-400,-901
785,816
136,497
9,-157
-972,-970
992,758
-685,-249
733,987
214,870
796,785
-180,849
-37,22
233,-578
523,-355
870,363
473,-218
650,929
711,936
-776,303
763,155
-291,-687
878,-999
-709,551
-617,888
-67,-818
511,709
559,-893
95,447
-197,541
245,-811
984,130
665,754
-982,-696
-847,-57
-409,-425
-466,21
230,-702
382,561
-94,566
-240,-898
-556,-982
-17,977
-90,-518
661,183
-660,-298
-388,-206
-73,-158
446,-201
609,-465
970,648
882,-482
793,-320
-560,420
-620,-788
-412,-293
1000,137
-48,-641
784,959
41,100
918,659
293,90
-607,144
611,327
-717,640
-427,-96
-318,-22
864,223
-208,-775
433,921
987,418
-13,-675
766,-243
237,964
669,-995
-167,910
-170,-797
-354,-102
-36,-6
-457,-631
-837,980
-238,-84
-729,-58
-968,462
-508,-922
-819,-848
-883,694
-975,-963
744,-784
467,444
-789,-196
435,522
-520,938
-784,-796
-692,-684
340,-670
-530,-661
-183,906
-564,-93
-601,-38
241,440
-11,-892
841,-451
-27,54
129,356
-998,792
462,340
-45,927
406,-502
-223,-673
108,746
167,-936
-85,-606
183,-33
-699,-45
-158,-456
430,675
-194,-74
-83,248
-394,-1
-124,682
529,306
859,721
756,-241
270,-486
-247,-604
-234,985
767,-910
-768,875
977,182
-10,-950
-917,-233
478,-914
-138,530
-541,-29
-760,-253
-181,-715
673,-778
-358,496
507,210
816,644
-987,-470
231,-570
-135,-80
211,-953
-544,539
-380,-941
525,953
-341,118
33,334
278,-656
566,-909
262,971
49,-222
-371,4
-152,292
-631,519
317,-555
143,-321
754,-409
-187,-398
94,-599
-226,296
-687,-584
82,-617
-679,-882
-481,-250
436,677
451,-11
-154,36
249,-644
845,-732
-413,-413
-645,110
-829,-820
-424,-701
-941,-156
191,-16
-906,776
228,-816
492,670
369,245
943,311
664,952
210,208
-634,498
741,3
646,-101
735,916
75,-240
-468,687
802,707
34,-869
320,337
431,585
-996,-878
997,-388
456,594
59,784
544,583
-618,-324
-859,407
-557,455
528,-956
98,-479
205,584
362,-178
-962,817
567,-714
-686,-64
-662,-36
-225,823
988,451
-74,-771
966,788
127,883
-713,-859
-447,718
-407,851
3,-952
-526,-353
-854,109
-671,-609
986,-90
937,384
-602,-270
-120,-556
-774,294
-304,-966
309,-860
-454,912
-633,801
448,343
314,-346
-831,-667
-966,-754
196,819
854,-501
-436,589
-579,684
4,834
-22,-116
503,-135
498,-95
148,-34
-593,-765
-680,-499
64,874
993,-20
442,-412
388,127
-184,-520
-439,-506
464,-984
-224,272
215,-272
638,918
138,786
-591,-646
915,505
204,-671
-100,374
738,760
-321,-760
-406,859
579,165
-391,513
739,-423
379,988
642,554
-260,328
452,61
-72,6
713,606
-765,108
-967,-31
-893,-257
-347,16
486,902
-746,863
868,657
574,-944
-843,-535
-869,793
345,-773
-921,-643
-528,-668
-281,-50
885,267
7,995
-794,128
680,464
-475,588
768,632
-677,800
-53,-165
710,435
87,-383
-916,-167
-105,617
-953,471
-337,29
822,-386
-429,608
-683,-278
-145,-977
-931,-246
722,-210
-342,695
-860,-885
-827,802
368,605
-122,-766
-362,2
-647,40
714,549
797,-179
-377,-632
-678,986
705,678
-549,315
-531,620
159,844
877,-404
556,-825
-112,750
512,-748
-788,-15
-718,175
465,-313
954,206
839,434
-490,922
-640,-925
-470,847
156,-847
-116,812
935,-75
-991,-27
370,-597
-583,-704
212,641
913,-130
-824,-997
752,-481
-584,139
554,198
-393,-252
904,297
-19,322
-614,446
677,768
339,-318
975,736
-43,-61
-330,974
224,-608
-71,-103
759,603
243,-679
871,-194
-12,-562
-974,979
583,400
916,-365
-117,-750
-313,385
576,441
-704,907
951,-650
801,806
812,-865
-529,630
137,275
884,-951
658,-573
-781,-426
-219,-182
563,-880
-542,-635
732,-141
-162,853
37,-4
17,-53
250,105
-936,-993
547,-94
-946,-441
704,-866
964,-372
146,-317
-252,-314
-379,-568
387,-686
-415,-431
-303,-566
-99,167
599,-596
-545,-41
291,-723
319,-529
19,-215
-738,879
-984,-693
-963,215
958,499
-656,255
783,-509
-840,-402
-397,91
805,-152
-66,-262
648,392
654,-492
772,-113
-29,475
612,-129
-141,-881
-161,80
280,-286
-462,-688
-372,954
-896,301
-727,-852
-865,129
902,325
292,217
150,70
616,112
-484,321
258,357
78,-887
297,873
571,705
-515,-427
911,-396
-196,-13
83,493
927,-717
-793,-707
427,756
66,525
-140,254
692,-564
44,-588
177,-294
477,249
762,517
934,318
-287,271
466,99
-356,-376
-600,-839
-657,765
57,832
876,-763
-855,-133
844,38
-217,599
132,233
-771,-190
-807,-379
728,803
-764,347
892,-81
-389,-757
-570,472
58,-975
173,604
332,-747
-543,-17
-641,350
175,-713
959,725
622,84
56,-772
256,-536
-5,-793
592,-959
285,-10
-345,-834
-773,305
560,771
-872,-378
875,-918
-121,553
-577,478
198,-184
814,212
-737,-787
575,-263
-513,830
357,865
-551,-826
-297,787
-21,827
-376,653
240,-297
471,-307
162,-906
140,335
745,-932
-386,-49
804,-212
176,320
-914,158
-742,724
760,485
795,5
721,383
-750,224
420,28
607,-223
779,-186
8,-637
-691,-627
-978,845
122,-35
225,411
330,-70
51,-195
-927,-676
743,-989
-839,353
640,898
-479,-339
687,626
676,739
-383,532
271,-352
-65,-460
-231,-505
-874,794
-31,348
-903,346
-242,-762
657,673
-770,106
-30,850
312,-454
0,-724
-845,-563
939,805
232,-99
-805,-264
361,-180
-169,-900
399,-185
-449,744
-977,-594
400,-790
476,367
288,-119
-842,-327
635,449
-485,-733
202,477
974,-476
809,-407
-915,161
304,989
